Chemical,ChemicalGroup,Mixture,NoPublications,NoInterventions,AcuteAquaticHazard,ChronicAquaticHazard,SkinIrritant,EyeIrritation,SkinSensitisation,AcuteToxicityOral,AcuteToxicityDermal,AcuteToxicityInhalation,AspirationHazard,Carcinogenicity,GermCellMutagenicity,ReproductiveToxicity,OrganToxicitySingleExp,OrganToxicityRepeatedExp,RespiratoryTractIrritation,Comments,Source 1,Source 2,Source 3,Source 4
Voriconazole,Antifungal,No,2,8,1,3,No,No,No,2,No,No,No,Yes,No,Yes,No,Yes,No,,https://chem.echa.europa.eu/100.157.870/industry/92761?searchText=voriconazole,,,
Florfenicol,Antibiotic,No,1,1,1,1,No,No,No,3,No,No,No,No,No,Yes,No,Yes,No,"Chemical name is 2,2-dichloro-N-{(1R,2S)-3-fluoro-1-hydroxy-1-[4-(methylsulfonyl)phenyl]propan-2-yl}acetamide",https://chem.echa.europa.eu/100.170.898/identity?searchText=florfenicol,,,
Itraconazole,Antifungal,No,23,60,No,No,2,2,No,3,No,No,No,No,No,Yes,No,No,Yes,,https://chem.echa.europa.eu/100.123.596/industry/128885?searchText=itraconazole,,,
Mandipropamid,Antifungal,No,1,18,1,1,No,No,No,No,No,No,No,No,No,No,No,No,No,,https://chem.echa.europa.eu/100.130.842/harmonised/294534?searchText=Mandipropamid,,,
Terbinafine hydrochloride,Antifungal,No,2,16,1,1,2,2,No,No,3,No,No,No,No,No,No,No,Yes,"Chemical name is [(2E)-6,6,-Dimethylhept-2-en-4-yn-1-yl](methyl)(naphthalen-1-ylmethyl)amine hydrochloride",https://chem.echa.europa.eu/100.121.534/industry/34618?searchText=Terbinafine%20hydrochloride,,,
Glyphosate,Herbicide,No,6,14,No,2,No,1,No,No,No,No,No,No,No,No,No,No,No,,https://chem.echa.europa.eu/100.012.726/overview?searchText=Glyphosate,,,
Malathion,Insecticide,No,1,1,1,1,No,No,Yes,3,No,No,No,No,No,No,No,No,No,,https://chem.echa.europa.eu/100.004.089/harmonised/135784?searchText=Malathion,,,
Chloramphenicol,Antibiotic,No,3,5,No,No,No,1,No,No,No,No,No,Yes,No,Yes,No,No,No,,https://chem.echa.europa.eu/100.000.262/industry/248089?searchText=Chloramphenicol,,,
Carbaryl,Insecticide,No,2,2,1,No,No,No,No,3,No,3,No,Yes,No,No,No,No,No,,https://chem.echa.europa.eu/100.000.505/harmonised/220214?searchText=Carbaryl,,,
Thiophanate-methyl,Antifungal,No,2,4,1,1,No,No,Yes,No,No,3,No,Yes,Yes,No,No,No,No,,https://chem.echa.europa.eu/100.041.567/harmonised/125359?searchText=Thiophanate-methyl,,,
Amphotericin B,Antifungal,No,1,1,No,No,2,2,No,No,No,No,No,No,No,No,No,Yes,Yes,,https://chem.echa.europa.eu/100.014.311/industry/469484?searchText=Amphotericin%20B,,,
Ivermectin,Antiparisitic,No,1,1,1,1,No,No,No,1,2,No,No,No,No,Yes,Yes,Yes,No,,https://chem.echa.europa.eu/100.067.738/industry/41477?searchText=ivermectin,,,
Chlorothalonil,Antifungal,No,1,4,1,1,No,1,Yes,No,No,1,No,Yes,No,No,No,No,Yes,,https://chem.echa.europa.eu/100.015.990/harmonised/78822?searchText=Chlorothalonil,,,
Fluconazole,Antifungal,No,1,2,No,3,2,2,No,3,No,No,No,No,No,Yes,Yes,No,Yes,"Chemical name is 2-(2,4-difluorophenyl)-1,3-bis(1H-1,2,4-triazol-1-yl)propan-2-ol",https://chem.echa.europa.eu/100.156.133/industry/6012411?searchText=fluconazole,,,
Benzalkonium chloride,Disinfectant,No,1,2,1,No,1,1,No,3,3,No,No,No,No,No,No,No,No,Not on ECHA but the single publication that used this chemical reported the manufacturer so I was able to use the manufacturer’s SDS,https://www.apexbt.com/downloader/document/C6396/MSDS.pdf,,,
Atrazine,Herbicide,No,2,8,1,1,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,,https://chem.echa.europa.eu/100.016.017/harmonised/229787?searchText=Atrazine,,,
Miconazole,Antifungal,No,1,1,1,1,No,2,Yes,3,No,No,No,No,No,No,No,No,No,,https://chem.echa.europa.eu/100.041.127/industry/362373?searchText=miconazole,,,
Virkon S,Disinfectant,No,2,6,No,3,1,1,No,3,No,No,No,No,No,No,No,No,No,Chemical name is Pentapotassium bis(peroxymonosulphate) bis(sulphate),https://chem.echa.europa.eu/100.067.959/industry/85186?searchText=virkon,,,
BMP-NTf2,Other,No,1,2,No,No,2,2,No,2,No,No,No,No,No,No,No,No,Yes,,https://chem.echa.europa.eu/100.109.496/industry/266058?searchText=1-Butyl-1-methylpyrrolidinium%20bis(triflu,,,
Virkon Aquatic®,Disinfectant,Yes,1,5,No,3,2,1,No,No,No,No,No,No,No,No,No,No,No,SDS appeared comprehensive so I did not break down into components,https://stim.uk/content/wp-content/uploads/2019/06/Virkon-Aquatic-MSDS-Version-30.pdf,,,
F10SC,Disinfectant,Yes,1,7,1,1,1,1,Yes,3,No,1,No,Yes,No,No,No,Yes,No,SDS was unclear (no acute aquatic H statement but report says ‘Very toxic’ in acute section) so I considered each of the two ingredients separately using section 3 of the SDS by considering worst case,https://everydaysupplies.com.au/wp-content/uploads/2023/01/F10-SC-Veterinary-Disinfectant-SDS.pdf,,,
Trimethoprim-sulfadiazine,Antibiotic,Yes,1,1,1,1,2,2,Yes,3,No,No,No,No,No,No,No,Yes,Yes,SDS was unclear (it was not considered harmful to aquatic life but there were no tests on the combined compound so separate results should have carried through) so I used ECHA data for each of the two ingredients separately considering worst case,https://www.neogen.com/4a9fd4/globalassets/pim/assets/original/10077/up200_en-ca_sds_v.1.0.pdf,https://chem.echa.europa.eu/100.010.915/industry/515232?searchText=%20Trimethoprim,https://chem.echa.europa.eu/100.000.623/industry/281762?searchText=sulfadiazine,
General Tonic®,Other,Yes,2,11,1,1,2,1,No,2,2,2,No,Yes,Yes,No,No,No,Yes,"Could not find SDS but chemical is used in only one publication which gives 4 active ingredients: ethacridine lactate, acriflavine, aminoacridine hydrochloride and methylene blue. ECHA hazards were found for each of these 4 components with worse case scenario reported here. There were two ethacridine lactate reported on ECHA so hazard statements from both were used. Aminoacridine hydrochloride is believed to refer to Acridin-9-ylamine hydrochloride monohydrate.",https://chem.echa.europa.eu/100.170.076/industry/381832?searchText=ethacridine%20lactate,https://chem.echa.europa.eu/100.115.094/industry/42302?searchText=acriflavine,https://chem.echa.europa.eu/100.004.678/industry/197286?searchText=aminoacridine%20hydrochloride,https://chem.echa.europa.eu/100.150.519/industry/216491?searchText=methylene%20blue
Hydrogen peroxide,Other,No,1,1,No,No,1,No,No,3,3,No,No,No,No,No,No,No,No,,https://chem.echa.europa.eu/100.028.878/overview?searchText=Hydrogen%20peroxide,,,
Formalin,Disinfectant,No,1,1,No,No,1,No,Yes,3,No,1,No,Yes,Yes,No,No,No,No,,https://chem.echa.europa.eu/100.000.002/harmonised/486729?searchText=formalin,,,
Malachite green,Antifungal,No,1,1,No,No,No,1,No,3,No,No,No,No,No,No,No,No,No,,https://chem.echa.europa.eu/100.113.721/industry/508691?searchText=Malachite%20green,,,
Bleach,Disinfectant,No,1,4,1,1,1,1,No,No,No,No,No,No,No,No,No,No,No,Chemical name is Sodium hypochlorite,https://chem.echa.europa.eu/100.028.790/harmonised/160217?searchText=sodium%20hypochlorite,,,
Sodium chloride,Sodium,No,5,14,No,No,2,2,No,No,No,No,No,No,No,No,No,Yes,No,,https://chem.echa.europa.eu/100.028.726/industry/328079?searchText=sodium%20chloride,,,
Electrolyte,Other,No,1,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Non-toxic method. No ECHA entry or SDS sheet.,NA,,,
Ethanol,Other,No,2,18,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,https://chem.echa.europa.eu/100.000.526/harmonised/336617?searchText=ethanol,,,
Steriplant N,Disinfectant,No,1,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Non-toxic method. No ECHA entry or SDS sheet.,NA,,,
