"","Taxa","Identifier","Publication.Date.Authorship","Origin","Study.site","LatitudeSS","LongitudeSS","Year.of.treatment","In.situ.or.Ex.situ","Treatment.group.size","Life.Stage","Intervention.category.1","Treatment.used.1","Specific.treatment.used.1","Intervention.category.2","Treatment.used.2","Specific.treatment.used.2","Duration.of.intervention","Long.term.monitoring","Habitat.or.Individual","Scalability","Efficacy.Matrix","Efficacy.of.intervention","Trend.in.efficacy.score","Adverse.Effects","Usability","Therapeutic.or.Prophylactic","Dosage","Comments.Extras","Year.of.publication","Intervention.category.1.itra","PhyloName","Genus","Family","Order","SVLMx","Microhabitat","ClutchMn","Activity","Latitude","Climate","Habitat","TaxaGroup"
"1","Acris crepitans",318,"2018 - Robak & Richards-Zawacki","Tulane University, Louisiana, USA","Tulane University, Louisiana, USA","","",2016,"Ex situ",11,"Adult","Bioaugmentation","Commensal Bacteria","Stenotrophomonas maltophilia","Climate","Temperature","Increased temperature",1,"N","B","N","Infection matrix",1,NA,0,0,"Prophylactic","2 × 10^8 at 26°C","This group had its natural bacteria reduced and then Stenotrophomonas maltophilia was added.. ",2018,"Bioaugmentation","Acris crepitans","Acris","Hylidae","Anura",38,"Semi-aquatic",270,"Day/Night",36.2252749319,"Temperate","Aquatic","Hylidae"
"2","Acris crepitans",316,"2018 - Robak & Richards-Zawacki","Tulane University, Louisiana, USA","Tulane University, Louisiana, USA","","",2016,"Ex situ",10,"Adult","Chemical","Antibiotic","Antibiotic mix","Climate","Temperature","Increased temperature",1,"N","B","N","Infection matrix",0,NA,0,0,"Prophylactic","30 ml at 26°C","This treatment group was designed to reresent a reduction in naturally occuring bacteria (removed by antibiotic bath) and varying temperature. This antibiotoc mixture was applied for 24 hrs. ",2018,"Other chemical","Acris crepitans","Acris","Hylidae","Anura",38,"Semi-aquatic",270,"Day/Night",36.2252749319,"Temperate","Aquatic","Hylidae"
"3","Acris crepitans",317,"2018 - Robak & Richards-Zawacki","Tulane University, Louisiana, USA","Tulane University, Louisiana, USA","","",2016,"Ex situ",11,"Adult","Bioaugmentation","Commensal Bacteria","Stenotrophomonas maltophilia","Climate","Temperature","Decreased temperature",1,"N","B","N","Infection matrix",1,NA,0,0,"Prophylactic","2 × 10^8 at 14°C","This group had its natural bacteria reduced and then Stenotrophomonas maltophilia was added.. ",2018,"Bioaugmentation","Acris crepitans","Acris","Hylidae","Anura",38,"Semi-aquatic",270,"Day/Night",36.2252749319,"Temperate","Aquatic","Hylidae"
"4","Acris crepitans",21,"2011- Chatfield & Richards-Zawacki","Louisiana, USA",NA,"","",2010,"Ex situ",16,"Adult","Climate","Temperature","Increased temperature",NA,NA,NA,10,"N","H","N","Prevelance matrix",3,NA,0,1,"Therapeutic","30°C","Life stage was not specified in paper, adult was assumed. 15/16 frogs tested negative (~94%) individuals tested negative after observation period, receiving a 3 with the prevelance matrix. While the study was effective in having individuals test negative, the method of heating was from an artificial source making it difficult to scale up this intervention. The duration of intervention success was 6 days, which was the number of days between ceasing treatment and testing since no further obsevations or tests were conducted. ",2011,"Climate","Acris crepitans","Acris","Hylidae","Anura",38,"Semi-aquatic",270,"Day/Night",36.2252749319,"Temperate","Aquatic","Hylidae"
"5","Acris crepitans",315,"2018 - Robak & Richards-Zawacki","Tulane University, Louisiana, USA","Tulane University, Louisiana, USA","","",2016,"Ex situ",10,"Adult","Chemical","Antibiotic","Antibiotic mix","Climate","Temperature","Decreased temperature",1,"N","B","N","Infection matrix",0,NA,0,0,"Prophylactic","30 ml at 14°C","This treatment group was designed to reresent a reduction in naturally occuring bacteria (removed by antibiotic bath) and varying temperature. This antibiotoc mixture was applied for 24 hrs. ",2018,"Other chemical","Acris crepitans","Acris","Hylidae","Anura",38,"Semi-aquatic",270,"Day/Night",36.2252749319,"Temperate","Aquatic","Hylidae"
"6","Alytes cisternasii",49,"2011 - Martel et al ",NA,"Ghent University, Ghent, Belgium","","",NA,"Ex situ",7,"Juvenile","Chemical","Antifungal","Voriconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",2,NA,0,2,"Therapeutic","0.125 mg/L","Treatment was applied through spraying of the indiviudals with a Voriconazole water solution.. No furhter information about zoospore counts, date of study or any other supplementary data was provided. 4/7 (57%) of the indiviudals had negative tests after the treatment. The prevalance matrix was used for this reason, resulting in a 2.",2011,"Other chemical","Alytes cisternasii","Alytes","Alytidae","Anura",50,"Terrestrial",109.5,"Nocturnal",39.3444933213,"Temperate","Terrestrial","Alytidae"
"7","Alytes cisternasii",48,"2011 - Martel et al ",NA,"Ghent University, Ghent, Belgium","","",NA,"Ex situ",7,"Juvenile","Chemical","Antifungal","Voriconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",4,NA,0,2,"Therapeutic","1.25 mg/L","Treatment was applied through spraying of the indiviudals with a Voriconazole water solution. All indiviudals tested ""absent"" for Bd which were tested using Boyle et al (2004) qPCR protocole. No furhter information about zoospore counts, date of study or any other supplementary data was provided. The prevalance matrix was used for this reason, resulting in a 4. ",2011,"Other chemical","Alytes cisternasii","Alytes","Alytidae","Anura",50,"Terrestrial",109.5,"Nocturnal",39.3444933213,"Temperate","Terrestrial","Alytidae"
"8","Alytes cisternasii",51,"2011 - Martel et al ",NA,"Ghent University, Ghent, Belgium","","",NA,"Ex situ",20,"Juvenile","Chemical","Antifungal","Voriconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",3,NA,0,1,"Therapeutic","1.25 mg/L","Treatment was applied through spraying of the indiviudals with a Voriconazole water solution and monitored for 5 months. 19/20 indiviudals tested negative for Bd which were tested using Boyle et al (2004) qPCR protocole. No furhter information about zoospore counts, date of study or any other supplementary data was provided.  The prevalance matrix was used for this reason, resulting in a 3.",2011,"Other chemical","Alytes cisternasii","Alytes","Alytidae","Anura",50,"Terrestrial",109.5,"Nocturnal",39.3444933213,"Temperate","Terrestrial","Alytidae"
"9","Alytes cisternasii",50,"2011 - Martel et al ",NA,"Ghent University, Ghent, Belgium","","",NA,"Ex situ",5,"Juvenile","Chemical","Antifungal","Voriconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",2,NA,0,2,"Therapeutic","1.25 mg/L","Unlike # 48, treatment was applied through soaking a paper towel with a Voriconazole water solution and placing the juveniles on top. No furhter information about zoospore counts, date of study or any other supplementary data was provided. 2/5 (40%) of the indiviudals had negative tests after the treatment. The prevalance matrix was used for this reason, resulting in a 2.",2011,"Other chemical","Alytes cisternasii","Alytes","Alytidae","Anura",50,"Terrestrial",109.5,"Nocturnal",39.3444933213,"Temperate","Terrestrial","Alytidae"
"10","Alytes muletensis",16,"2015 - Bosch et al","Mallorca, Spain","Coco de sa Bova, Mallorca, Spain","39°36'48""N","2°54'41""E",2009,"In situ",NA,"Larvae","Chemical","Antifungal","Itraconazole","Habitat","Drying","Drying",7,"Y","B","Y","Infection matrix",1,"Increase in score",0,1,"Therapeutic","1.0 mg l -1","The experimental set up had many stages in which the experimental trials and groups were not well defined, but this portion of the study from 2009-2012 where only itraconozole and drying were applied once, was isolated. There was information about the group size of the indiviudals tested for Bd, but no information about how many the treatment was applied to. Since we do not know if the entire population or just a portion needs to be captured and treated, there could not be an appropriate assessment of scalability. There was little information about the summer testing and why it was performed other than to have another data set in the figures, but it was not discussed. The infection matrix was used, and there was approximately 0.25 units of difference between 2009 to 2010, but the trend continued to increase in efficacy until 2012. ",2015,"Itraconazole","Alytes muletensis","Alytes","Alytidae","Anura",40,"Semi-aquatic",14,"Nocturnal",39.7694041804,"Temperate","Aquatic","Alytidae"
